timestamp_scrape,percentage,location_name,last_count,updated,open_boolean
2023-07-19 19:17:46.087869-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:17:46.088128-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:17:46.088373-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:17:46.088729-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:17:46.088957-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:23:02.800323-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:23:02.800536-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:23:02.800710-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:23:02.800881-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:23:02.801046-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:26:26.070853-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:26:26.071119-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:26:26.071341-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:26:26.071651-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:26:26.071866-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:35:03.354923-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:35:03.355261-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:35:03.355520-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:35:03.355775-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:35:03.356019-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:44:38.809881-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:44:38.810123-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:44:38.810329-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:44:38.810502-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:44:38.810711-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:50:25.289908-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:50:25.290137-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:50:25.290386-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:50:25.290573-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:50:25.290750-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 19:55:34.806354-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:55:34.806567-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:55:34.806740-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:55:34.806931-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:55:34.807100-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:01:25.036071-04:00,56.190476190476,Marino Center - 2nd Floor,59,07/19/2023 07:57 PM,True
2023-07-19 20:01:25.036350-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:01:25.036551-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
